definition,word,author,tags,up,down,date
"Unwanted, non-personal email received from a family member, friend or colleague.Granny spam has usually been forwarded several times and concerns such inane topics as childish jokes, dubious political propaganda, spurious computer security alerts or claims of monetary recompense in exchange for forwarding of said spam.Subject lines are often of the form ""FW: FW: FW: FW: bullshit""Origin: Usenet, circa 1990-1999.",Granny spam,mobius42,"[u'#spam', u'#fw:', u'#granny', u'#bullshit', u'#internets']",5153,3693,"July 16, 2009"
"When you approach an Associate in a Big Box Store and request directions to an item or a department, the Associate will ""guide"" you to the location, using a very specific, walk style. They will walk in front of you and their pace is slowed down, similar to being the first car in a motorcade.",associate's walk,BigMac-NC,"[u'#associate', u'#big box store', u'#guide', u'#motorcade', u'#lemming']",3858,3665,"October 24, 2009"
Someone who gets sleepy or passes out shortly after starting to read.,lightweight reader,Orionis70,"[u'#lightweight', u'#sleepy', u'#tired', u'#studying', u'#read']",3043,4945,"February 08, 2012"
Having the ability to masturbate successfully with both hands.,ambisextrous,Trotsky J Skills,"[u'#ambisexterous', u'#unidextrous', u'#sex', u'#ambidextrous', u'#ambidexterous', u'#hands', u'#both', u'#either', u'#masterbate', u'#masturbate', u'#penis', u'#stroke']",3340,4943,"February 08, 2012"
Falling asleep at the keyboard,qwerty nosedive,r1gg4,"[u'#nodding off', u'#napping', u'#tired', u'#sleepy', u'#exhausted']",2800,5517,"February 08, 2012"
Wear green. Go to parades and bars. Drink Guinness. Get snot hanging drunk. Act like an idiot. Blame March 17th.,St. Patrick's Day,Anonymous,[],1822,4011,"January 23, 2005"
"(Short for tranquilizer.) 1. A sedative, or the act of sedating.  2. Any chemical substance used for calming a human or animal through injection or ingestion.",tranq,Caltha.,[],1556,3572,"March 21, 2004"
This is when you look skinny but you have an untoned body. a.k.a. the stomach area,skinny fat,Kaptain Canada,"[u'#skinny', u'#fat', u'#phat', u'#skiny', u'#skiny fat']",3292,5810,"May 28, 2006"
"Celebrated on March 14th, Steak and Blowjob Day is a holiday for men, celebrated the month after Valentine's Day -- a holiday for women. The idea is simple: no cards, flowers, candy or other whimsical gifts.  Ladies (and gay men), you simply bestow your partner with a steak and a blowjob.  Not necessarily in that order.",Steak and Blowjob Day,The Canadian Information Minister,[],22513,14754,"February 29, 2004"
"the complementary stuff with which you leave your dentist’s office: toothbrush, dental floss, etc.",dental swag,ΔиłĦ☼иצ ß€₡ʞ,"[u'#dentistry', u'#swag', u'#loot', u'#booty', u'#dental hygiene']",5352,5979,"December 12, 2011"
When what you do for a living makes you want to kill yourself.,malemployed,Malemployee,"[u'#job', u'#employment', u'#vocation', u'#career', u'#workplace']",2687,5847,"February 17, 2010"
"When a person does not wash their hands after taking a dump they receive a brown card. Similar to a warning in sports.",brown carded,rpetras,"[u'#yellow card', u'#yellow listed', u'#brown listed', u'#brown card', u'#gross']",3416,6465,"June 10, 2008"
"n. A status bestowed from one individual upon another exemplifying satisfaction anticipated from maintaining a relationship with that individual. This evaluation is highly subjective and typically reflects a great deal of personal preference. However, this term is usually used in situations where the relationship is not exclusively sexual (i.e., it is not used to describe a fuck buddy).",relationship material,lugnutwrench,"[u'#datability', u'#fuck buddy', u'#fuck friend', u'#marriage material', u'#marriage test', u'#relationship test']",7286,4019,"July 18, 2008"
"abbrev. ""Sick minds think alike."" It is a variation of GMTA.",SMTA,lugnutwrench,"[u'#gmta', u'#sick', u'#sick and wrong', u'#sick freak', u'#sick fuck']",7767,5498,"July 14, 2008"
abbreviation for 'really don't care',rdc,statsman,"[u""#don't care"", u'#who cares', u'#whatever', u'#leave me alone', u'#go away']",9909,5429,"February 15, 2007"
(abbreviation) stands for totally.,totes,stella,[],4723,8422,"February 05, 2005"
The fastest way to piss off anybody and make enemies.,politics,Matt,[],5929,6928,"June 25, 2004"
Short for 'And what are you going to do about it',and what,broder,"[u'#and what', u'#what', u'#what what what', u'#go home', u""#you startin'""]",2356,6117,"October 19, 2005"
"A reality show person who changes behavior, usually more obnoxious, when the cameras are rolling.",Reality Show Off,ideofrenik,"[u'#reality show', u'#behavior', u'#behaviour', u'#wuss', u'#obnoxious']",2095,5428,"January 27, 2012"
A nice way to tell someone that their incessant display of affection for their dog or cat is causing you embarrassment as one who is forced to watch such display,get a kennel,Linguistic,"[u'#pets', u'#dogs', u'#cats', u'#privacy', u'#get a room']",2499,5958,"January 28, 2012"
When something drastic happens in your life that causes you to take a serious financial loss. Economic downturn on a personal level.,401KO'd,Jason Brand,"[u""#401ko'd"", u'#401k', u'#financial', u'#loss', u'#bummer']",2046,5919,"January 28, 2012"
"the part of youtube where one encounters very odd videos, such as the retarded running horse, retarded dog, and drunk squirrel.",weird part of youtube,mama luigi 9000,"[u'#weird', u'#part', u'#youtube', u'#retarded', u'#running', u'#horse']",3381,5866,"January 29, 2012"
"Having to use a public restroom (for #2) that has either no lock on the door to said restroom, or no lock on the stall you are using.",leap of faith,curtr,"[u'#pooping', u'#dump', u'#number 2', u'#public', u'#restroom']",2868,6017,"July 03, 2006"
To stick your hand in your pocket and scratch your balls.,pocket pool,The Doctor,[],3271,6333,"December 12, 2004"
When someone wears business casual and it looks horrible.,Business Casualty,MyAccount,"[u'#business casual', u'#clothes', u'#fashion disaster', u'#tacky', u'#outfit']",3217,7058,"September 29, 2011"
To be so drunk or so high to the point of not being able to function.,Shmacked,12368kyl,"[u'#drunk', u'#high', u'#blitted', u'#wasted', u'#fucked', u'#cum', u'#marijuana']",2855,7062,"October 10, 2009"
"an act or habit of misusing words ridiculously, esp. by the confusion of words that illustrate that you are full of crap.  ",malapoopism,Thann,"[u'#bullshit', u'#full of it', u'#idiot', u'#dork', u'#nonsensical', u'#bozone']",2686,6959,"January 18, 2007"
"The state of embarrassed backpedaling following the accidental revelation of a party's gender through the use of a gender-specific pronoun. This slip abruptly ends a series of either gender-neutral phrasings or ""pronoun lies."" Generally leads to an ineffective self-correction, as there is no further lie that can provide a save. Restricted to certain languages, depending on the grammar of gender.",pronoun panic,atds,"[u'#pronoun', u'#pronoun lie', u'#gender', u'#unisex', u'#freudian slip', u'#closet', u'#let the cat out of the bag', u'#out', u'#save']",2132,4327,"November 14, 2009"
"Condition suffered by a car, where seemingly painful inflammation and stiffness of the joints can cause groaning in parts of the car that normally make no noise,",carthritis,shawnblog,"[u'#car', u'#driving', u'#mechanic', u'#automobile', u'#sound']",2629,6141,"January 28, 2009"
"Watching several episodes of a TV show in a row, usually from an online streaming service. This can be done over several evenings, or a marathon weekend.",powerstreaming,carthobock,"[u'#tv', u'#episodes', u'#streaming', u'#sequentially', u'#marathon', u'#powerdisking']",3439,5077,"January 26, 2012"
"A holiday that has no real reason other than being an excuse for furniture and automotive dealers to have huge sales, and make Americans that don't know anything about their government feel stupid.",Presidents Day,Rhobyn,"[u'#president', u'#washington', u'#holiday', u'#jefferson', u'#used car']",3372,4955,"February 09, 2008"
"an expression used to descirbe somethjng crazy, chill, or insane that is too awesome for the mind to handle",Dat shit cray,ChillaxBroseph,"[u'#cool', u'#bro', u'#insane', u'#awesome', u'#chill', u'#amazing']",4194,8713,"December 27, 2011"
A moon landing is when two people's naked butts bump as they bend over.,Moon landing,lacygirl1126,"[u'#moon', u'#landing', u'#naked', u'#butts', u'#bump']",4939,6605,"January 31, 2010"
"Someone who uses terrible punctuation and couldn't spell if their life depended on it.  You are either grammatically challanged by nature, or you have been exposed to txt talkers too long.",Grammatically Challanged,Arran,[],4825,6740,"October 23, 2004"
A game of chance to decide which person pays for a restaurant meal.  Every party contributes a credit/debit card into a hat and the waiter/waitress removes one card at time.  The last card removed pays the entire bill. ,credit card roulette,Joey Pruett,"[u'#russian', u'#meal', u'#chance', u'#luck', u'#adventure', u'#crap']",4333,5028,"April 07, 2006"
the easiest way to end an argument when your opponent relays their intentions to do something that you do not agree with.,let me know how that works out for you,notyourgirlfriend,"[u'#lmkhtwofy', u'#insults', u'#argument', u'#debate', u'#derogatory']",4424,3996,"January 22, 2012"
"A Pointless and worthless day invented by Hersheys Confectionary Co and Joining forces with Teleflora Florists and Corbans Wine Makers just so they can profit out of Wine, Cholocates and Flowers, while single people suffer at the clutches of the hands of this evil and corrupt capitalist-orientated day that is not even a fucking holiday period.",valentines day,Brother Number One,[],10488,6639,"March 21, 2004"
The way in which a douchebag would go about introducing his/herself. Bragging about their meaningless accomplishments in an attempt to impress you.,Introdouche,NickPisky,"[u'#douchebag', u'#scumbag', u'#douche', u'#doosh', u'#introduce', u'#douchebaggery', u'#douchemuffin']",6801,4669,"January 22, 2012"
"The male version of the fashionista. A man who loves fashion.",fashionmista,AskBronny,"[u'#fashionista', u'#fasionmista', u'#fashion', u'#fashionmister', u'#fashionister']",3220,7617,"March 25, 2007"
"A more dignified way to say ""Shit Yeah!"" so you don't sound uneducated in the presence of others.",defecately,abritishbank,"[u'#poo', u'#shit yeah', u'#defecate', u'#definitely', u'#of course']",5183,7911,"January 18, 2012"
"The act of going to the toilet when you don't really need to, to make sure you don't need to go later. Usually conducted prior to long car journeys or departure from drinking establishments.",Insurance Piss,SuperBeerFiend,"[u'#pee', u'#wee', u'#waz', u'#pis', u'#urine', u'#slash']",7436,5561,"May 07, 2009"
"when a really hot chick has trouble getting dates because guys all assume she already has a boyfriend and are scared to approach her....Inspired by the Jackson Browne song ""Somebody's Baby""",somebody's girl syndrome,Mr.Juan-derful,"[u'#hottie', u'#babe', u'#chick', u'#diva', u'#girl']",7548,5455,"May 04, 2010"
"1. The formal union of two people who are of the same gender in a consensual relationship, typically recognized by society. Also described as same-sex marriage and gay marriage.",garriage,Jenny and Kris,"[u'#marriage', u'#gay marriage', u'#same sex marriage', u'#divorce', u'#breakup']",2326,7884,"January 20, 2012"
"By the use of this phrase to open or close a statement, the user acquires or asserts a pleasant, folksy authority. Sometimes paired with ""boy"" for added authority and folksiness (see example).Frequent famous users include Cris Collinsworth and Hank Hill.",I tell you what,TebowTime23,"[u'#michael vick', u'#cris collinsworth', u'#hank hill', u'#folksy', u'#authority', u'#boy']",4048,4289,"January 19, 2012"
"A generic term for any form of sport involving a ball, and especially those with ""ball"" in their name.  Often derogatory.",sportsball,Balcerzak,"[u'#baseball', u'#football', u'#basketball', u'#sports', u'#ball']",3324,6955,"March 03, 2007"
"A raucous bowel movement experienced the day after the Super Bowl due to consumption of large amounts of chili, hot wings, and beer.",Super Bowel,californiatoilet,"[u'#super bowl', u'#the runs', u'#big turd', u'#crap', u'#poop', u'#football']",6631,6125,"February 07, 2010"
While using urinal and the piss splashes back at you or the guy standing next to you.,Peehicular Manslaughter,The Swheatley,"[u'#wedding', u'#slacks', u'#manslaughter', u'#committed', u'#pee']",3771,8350,"June 17, 2011"
This is a phrase that hails from the heart of Georgia. It is used to describe something that is so obvious.,is a frogs ass water tight,The wildabeast,"[u'#is', u'#the', u'#pope', u'#a', u'#catholic']",4804,7558,"October 31, 2009"
"When you are invited to a party or event and don't really feel like going, but you feel some sort of obligation to attend. Like peer pressure, but related specifically to going to a party.",party pressure,hotdates,"[u'#peer pressure', u'#party pooper', u'#party poser', u'#party reflex', u'#party shitter', u'#party tyrant']",3755,7005,"January 16, 2012"
